,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
p53077,1.1843447497242827e-06,1.4089666811885947e-08,1.322434770793037e-09,0.14426132789454427,9.474570552289684e-11,0.8548800630523168,1.0730940974406644e-09,0.0008512612570250541,6.1468714226855676e-06
p53047,1.834287579164422e-06,1.2381992567157238e-08,1.9129381628829927e-09,0.22107058109026875,1.7906121400100473e-10,0.777390833721926,1.2259422684416114e-09,0.0015337435751465872,2.991625145282443e-06
p53063,3.857038850376566e-06,3.1011031572415494e-08,4.11197672216962e-09,0.4558091473517721,3.35904321828412e-10,0.5411247487950273,2.8499905603327686e-09,0.0030545744621645102,7.634043282570418e-06
p53029,5.862278204127876e-07,4.643908609669411e-09,6.161483257560551e-10,0.06983137428028911,5.55069054224048e-11,0.9296820167456697,4.153418120544291e-10,0.000484487885137285,1.5291301778696737e-06
p53009,3.2018454638537e-07,2.6274926002297283e-09,3.3679823029429824e-10,0.03812974926608247,3.04009691600394e-11,0.9616044413360155,2.2962712775971875e-10,0.0002645337071815388,9.522818549911017e-07
p53065,3.3758297584777165e-06,2.23382995921875e-08,3.5266309542484647e-09,0.4044261873991027,3.2181265174152224e-10,0.5927549127491966,2.26514698404638e-09,0.0028108071863970356,4.688383654912436e-06
p53051,3.904377613111154e-06,2.444843336811933e-08,4.067491381802077e-09,0.4707208957267541,3.780278485632609e-10,0.5260037753535295,2.5943946907194136e-09,0.003266735259061429,4.65779469464403e-06
p53073,7.881677719399084e-07,5.2568309835116445e-09,8.192218326499083e-10,0.09651937425338974,8.018056019635703e-11,0.9028160592246197,5.211016613300461e-10,0.0006623615578017649,1.4101190819049896e-06
p53007,1.3218995604763723e-06,1.0818471643504973e-08,1.3994414746463922e-09,0.15664081986052833,1.200418267641313e-10,0.842280083144043,9.64652793549966e-10,0.0010744387864875544,3.323006772896343e-06
p53003,3.923149353799019e-06,4.7703108434953445e-08,4.478446083029514e-09,0.4692584352462692,3.0041892970494253e-10,0.5281037326093452,3.7053214052895725e-09,0.0026168949468974374,1.6957860839706386e-05
p53019,2.7745566461487955e-06,1.8417949116249998e-08,2.8958040818883854e-09,0.33334216674034894,2.6727536829223996e-10,0.6643356391715759,1.8572811390340852e-09,0.002315341808028611,4.054285090680331e-06
p53017,1.8793690087598756e-06,1.5578562176347193e-08,1.9971101884778e-09,0.22233664190093932,1.6751607384419368e-10,0.7761449784929755,1.3896394246639703e-09,0.0015118885709964763,4.5925332520755236e-06
p53005,1.8798796584705515e-06,2.3397655777650915e-08,2.12870171454828e-09,0.23244629859001306,1.4668775757374618e-10,0.766250090094966,1.766500109251012e-09,0.0012918007216921594,9.903274124814517e-06
p53023,3.5806922197298825e-06,4.0763771666353266e-08,4.02775395120431e-09,0.4386553041259539,2.797801451190633e-10,0.5588748581186904,3.239352016881393e-09,0.0024522007860113843,1.4007966466831103e-05
p53033,7.918199401925578e-07,7.2972171621429515e-09,8.472430763768373e-10,0.0935664555309981,6.976347481912039e-11,0.9057992251679793,6.132246634174208e-10,0.000630843214653286,2.675438980792779e-06
p53049,3.13108828299925e-07,3.7356071856983425e-09,3.457658296255904e-10,0.03759418177093588,2.581962968732964e-11,0.9621687369721105,2.8064921156049944e-10,0.00023487263031182125,1.891129971723665e-06
p53039,1.1051011661378193e-06,1.5462783892954128e-08,1.2722684108682476e-09,0.13532572711411237,8.486267214766001e-11,0.8639229030676632,1.164812778742928e-09,0.0007424742593093042,7.772473021315738e-06
p53055,4.926128196606876e-07,3.5809121310208885e-09,5.139794868135762e-10,0.05946654772664581,4.882523102316077e-11,0.9401197632451679,3.3361335991588165e-10,0.0004120871948843442,1.1047431519166215e-06
p53027,3.209526292835542e-07,3.3093431480508707e-09,3.4664156441055854e-10,0.037978920827642565,2.7790387530441235e-11,0.9617671698933614,2.6206096996993405e-10,0.00025210853064207495,1.4758498884445234e-06
p53015,4.992025412466515e-07,6.486254388025535e-09,5.617436656398595e-10,0.06147728194984478,3.97425703233244e-11,0.9381614542465266,4.883659114395794e-10,0.0003573941410095593,3.3628839712934804e-06
p53071,2.6859406606800396e-06,3.30216116326859e-08,3.050561924306707e-09,0.3315887248498729,2.0796952005916e-10,0.6665748942807477,2.5259353689293544e-09,0.0018206981814453522,1.2957941194873644e-05
p53025,2.0282080445768446e-06,1.9266394058653824e-08,2.1951922610562884e-09,0.24034192927728332,1.713568006096653e-10,0.7580895080632246,1.6237412885478571e-09,0.001560144536358325,6.366658404782143e-06
p53001,2.728655439311026e-06,2.7032477273744204e-08,2.982212707000255e-09,0.3251915628625073,2.247155904595464e-10,0.6727608246600132,2.2536097368777647e-09,0.0020360740451015953,8.77728392339099e-06
p53011,5.229476014587064e-07,7.586314200719513e-09,6.014151178761093e-10,0.06437733456089748,4.042303445030935e-11,0.9352614640205085,5.733782311826533e-10,0.0003564054564429578,4.264213018907472e-06
p53043,2.8932054793487618e-06,2.4234874818372024e-08,3.0898628701930214e-09,0.34188231710292444,2.5201909317433394e-10,0.6558177169603969,2.1713104418151245e-09,0.0022903845960401416,6.658387091952976e-06
p53035,5.590310352085906e-07,5.0308841935773305e-09,5.952213360049525e-10,0.0661215671099449,5.022665678610376e-11,0.9334252446910887,4.2508034066363316e-10,0.0004507458806031895,1.8771859154960086e-06
p53075,3.689986364728893e-06,3.654223715570172e-08,4.050917554042144e-09,0.44119938183866614,2.997924471167135e-10,0.5560894913268832,3.0723082221004333e-09,0.0026963503828155546,1.1042500014992071e-05
p53045,4.3516903254830394e-07,4.235252954470761e-09,4.671947771780017e-10,0.05141295798649944,3.819434020455051e-11,0.9482394246600546,3.4494021872783463e-10,0.0003454352321752449,1.7418666559662734e-06
p53057,8.159127514308185e-07,5.895231189217794e-09,8.52309141975504e-10,0.09811580309859744,7.969099095099107e-11,0.9012006326275929,5.544901532672282e-10,0.000681033630053942,1.7073492831639577e-06
p53053,6.802802572024868e-07,7.064088696774929e-09,7.391524948680046e-10,0.08073357923503648,5.7641617078880244e-11,0.9187380301244256,5.633724680665497e-10,0.0005247683838539043,2.933552171529355e-06
p53067,4.964166439172153e-07,5.342129975945862e-09,5.410434713838474e-10,0.05901579074658785,4.1890093308930063e-11,0.9405999378464324,4.1798952557167323e-10,0.0003814007074040952,2.3679398786226872e-06
p53021,2.3858698018660886e-06,2.703217156838737e-08,2.663007996945476e-09,0.2894917352139976,1.8960275595206763e-10,0.7088058768476775,2.12831989292381e-09,0.001689833538250999,1.0136517169867287e-05
