,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
p83,0.6029314638826231,0.14335594751080413,0.009134085243037214,0.00038105909724055306,0.000238410241220232,1.7916607911441245e-07,0.022791671870145705,0.18228340064117488,0.03888378234767515
p84,0.1557037972884884,0.1459990006853438,0.0007841676170094138,0.0010271203888688773,1.813441073674338e-05,7.747144877593465e-07,0.011222226168686955,0.41739159050619384,0.26785318822018417
p85,0.049854419731625334,0.26199927649363686,0.0002852612699635123,0.0013578950664225758,6.8106729509218e-06,1.451198703777106e-06,0.013165602003636279,0.13222569395304884,0.5411035896100119
p86,0.012901747103631716,0.3533316558566445,0.0001084671756184936,0.0006389631617666009,2.8796328908486732e-06,1.1187421245039254e-06,0.03161460070731481,0.03329523943126653,0.5681053281887418
p87,0.014157726652473253,0.5498800320811117,0.0002068361438195937,0.00020313568743844098,6.209679459156519e-06,3.229933062067571e-07,0.09577609903394897,0.03130270561894795,0.3084669321094948
p88,0.051950418826228056,0.5679932332058331,0.0008074911163725607,0.00021268772217245699,2.254165210759463e-05,2.3481993167748363e-07,0.07385606387528208,0.10534504487358358,0.19981228390848896
p89,0.038984458171100037,0.6175564446563797,0.0013646479103569488,8.905746821466934e-05,4.412925593347041e-05,9.7458033377735e-08,0.1950308644426402,0.06156279643110914,0.08536750420623244
p9,1.0839161270779093e-07,1.8710386328880117e-08,2.317959387084597e-10,0.28739677856419327,7.290968307810336e-12,0.71251681490723,1.2056706815325342e-09,5.1068363773957435e-05,3.520961804619844e-05
p90,0.011391248846725769,0.6259944504731482,0.0006818988929361405,3.543322669603105e-05,2.8546125534021933e-05,4.752736463270546e-08,0.2718861048289417,0.018102406748134757,0.07187986333051878
p91,0.002856600159328611,0.3925765981877067,0.00021902463018730147,1.3268192489451826e-05,1.1422308305081478e-05,2.2686490343078333e-08,0.5334058477694728,0.004767590980852965,0.06614962508516674
p92,0.10789313824808776,0.49756357741787055,0.00589534315111768,6.763189176012399e-05,0.00015963716679297281,5.5686193407476626e-08,0.2232224910852089,0.08928717158490927,0.07591095376805933
p93,0.22589566293932006,0.46281051927974903,0.0072440738993668615,9.687676214304454e-05,0.0001743534602482715,7.291746401201292e-08,0.08837916637387604,0.13368722944233233,0.08171204492550017
p94,0.008400699480258575,0.27571974991887893,0.0021417213419476764,8.898438240251946e-06,0.00013621442387502005,9.854782827806124e-09,0.693212592112989,0.0077565086798902175,0.01262360574913744
p95,0.037240595382903585,0.2484657048701892,0.012258565641831086,6.673338076433959e-06,0.0007943685972164734,5.786263187297131e-09,0.6848965452208133,0.008652128468652515,0.007685412694054125
p96,0.017534498202206122,0.1027988882539973,0.0073947435319084995,2.878086483140966e-06,0.0008561008838952908,2.6721758672922886e-09,0.8646547138243714,0.003479981504361543,0.0032781930406006773
p97,0.06123472534736399,0.346353469481384,0.022589825949862512,4.748744643124407e-06,0.001417316197626816,3.813482171482325e-09,0.5565667160209266,0.006650665234647808,0.005182529210062911
p98,0.028757680508781094,0.09062231735282701,0.03344851382196751,1.0083606353072711e-06,0.005805356162756557,7.957741871401716e-10,0.8388762762294621,0.0014086116304775778,0.0010802351373187008
p99,0.07518583215829873,0.07745056876614272,0.13364873343465927,1.2646779325367065e-06,0.019932442846584752,7.849461937736191e-10,0.6915257506187984,0.0013873942674818142,0.0008680124451558099
